area,date,num_trip
3,2019-09-02,507
3,2019-09-03,663
3,2019-09-04,719
3,2019-09-05,939
3,2019-09-06,968
3,2019-09-07,1039
3,2019-09-08,754
3,2019-09-09,676
3,2019-09-10,754
3,2019-09-11,775
3,2019-09-12,1185
3,2019-09-13,1094
3,2019-09-14,1184
3,2019-09-15,847
3,2019-09-16,713
3,2019-09-17,808
3,2019-09-18,843
3,2019-09-19,982
3,2019-09-20,1121
3,2019-09-21,1171
3,2019-09-22,832
3,2019-09-23,748
3,2019-09-24,791
3,2019-09-25,837
3,2019-09-26,944
3,2019-09-27,965
3,2019-09-28,996
3,2019-09-29,787
3,2019-09-30,728
3,2019-10-01,755
3,2019-10-02,774
3,2019-10-03,914
3,2019-10-04,981
3,2019-10-05,1131
3,2019-10-06,743
3,2019-10-07,691
3,2019-10-08,709
3,2019-10-09,671
3,2019-10-10,860
3,2019-10-11,1034
3,2019-10-12,974
3,2019-10-13,933
3,2019-10-14,724
3,2019-10-15,770
3,2019-10-16,806
3,2019-10-17,887
3,2019-10-18,935
3,2019-10-19,1117
3,2019-10-20,904
3,2019-10-21,691
3,2019-10-22,792
3,2019-10-23,733
3,2019-10-24,926
3,2019-10-25,900
3,2019-10-26,914
3,2019-10-27,816
3,2019-10-28,692
3,2019-10-29,705
3,2019-10-30,747
3,2019-10-31,771
3,2019-11-01,1063
3,2019-11-02,993
3,2019-11-03,832
3,2019-11-04,653
3,2019-11-05,646
3,2019-11-06,742
3,2019-11-07,843
3,2019-11-08,890
3,2019-11-09,970
3,2019-11-10,764
3,2019-11-11,588
3,2019-11-12,752
3,2019-11-13,797
3,2019-11-14,858
3,2019-11-15,907
3,2019-11-16,918
3,2019-11-17,717
3,2019-11-18,659
3,2019-11-19,714
3,2019-11-20,753
3,2019-11-21,940
3,2019-11-22,973
3,2019-11-23,1074
3,2019-11-24,770
3,2019-11-25,635
3,2019-11-26,750
3,2019-11-27,686
3,2019-11-28,623
3,2019-11-29,700
3,2019-11-30,663
3,2019-12-01,570
3,2019-12-02,696
3,2019-12-03,839
3,2019-12-04,843
3,2019-12-05,1059
3,2019-12-06,1280
3,2019-12-07,1414
3,2019-12-08,874
3,2019-12-09,665
3,2019-12-10,810
3,2019-12-11,779
3,2019-12-12,1073
3,2019-12-13,1336
3,2019-12-14,1457
3,2019-12-15,859
3,2019-12-16,823
3,2019-12-17,808
3,2019-12-18,910
3,2019-12-19,1023
3,2019-12-20,1230
3,2019-12-21,1299
3,2019-12-22,1034
3,2019-12-23,884
3,2019-12-24,522
3,2019-12-25,216
3,2019-12-26,615
3,2019-12-27,733
3,2019-12-28,815
3,2019-12-29,684
3,2019-12-30,578
3,2019-12-31,787
4,2019-09-01,10995
4,2019-09-02,6552
4,2019-09-03,9886
4,2019-09-04,11576
4,2019-09-05,13568
4,2019-09-06,14042
4,2019-09-07,11240
4,2019-09-08,8582
4,2019-09-09,10795
4,2019-09-10,13686
4,2019-09-11,15558
4,2019-09-12,16099
4,2019-09-13,16561
4,2019-09-14,13271
4,2019-09-15,10195
4,2019-09-16,11667
4,2019-09-17,13395
4,2019-09-18,13769
4,2019-09-19,15866
4,2019-09-20,16609
4,2019-09-21,14630
4,2019-09-22,12054
4,2019-09-23,11949
4,2019-09-24,14240
4,2019-09-25,14721
4,2019-09-26,15555
4,2019-09-27,17513
4,2019-09-28,11726
4,2019-09-29,9882
4,2019-09-30,9865
4,2019-10-01,11425
4,2019-10-02,14410
4,2019-10-03,14785
4,2019-10-04,15160
4,2019-10-05,13474
4,2019-10-06,9416
4,2019-10-07,10251
4,2019-10-08,11526
4,2019-10-09,11832
4,2019-10-10,14919
4,2019-10-11,17261
4,2019-10-12,13045
4,2019-10-13,10937
4,2019-10-14,11694
4,2019-10-15,13898
4,2019-10-16,15200
4,2019-10-17,15415
4,2019-10-18,15457
4,2019-10-19,13497
4,2019-10-20,10648
4,2019-10-21,11274
4,2019-10-22,13480
4,2019-10-23,13696
4,2019-10-24,14524
4,2019-10-25,15254
4,2019-10-26,15091
4,2019-10-27,11193
4,2019-10-28,11394
4,2019-10-29,13911
4,2019-10-30,14292
4,2019-10-31,13783
4,2019-11-01,15309
4,2019-11-02,12926
4,2019-11-03,9748
4,2019-11-04,10319
4,2019-11-05,12608
4,2019-11-06,13413
4,2019-11-07,15443
4,2019-11-08,14807
4,2019-11-09,12339
4,2019-11-10,9683
4,2019-11-11,10866
4,2019-11-12,14437
4,2019-11-13,14951
4,2019-11-14,15197
4,2019-11-15,15326
4,2019-11-16,12346
4,2019-11-17,8982
4,2019-11-18,11139
4,2019-11-19,13426
4,2019-11-20,13181
4,2019-11-21,14873
4,2019-11-22,16216
4,2019-11-23,12087
4,2019-11-24,9425
4,2019-11-25,9791
4,2019-11-26,11908
4,2019-11-27,10464
4,2019-11-28,5708
4,2019-11-29,8250
4,2019-11-30,11253
4,2019-12-01,9655
4,2019-12-02,13309
4,2019-12-03,15479
4,2019-12-04,16473
4,2019-12-05,18025
4,2019-12-06,19589
4,2019-12-07,15889
4,2019-12-08,10352
4,2019-12-09,11225
4,2019-12-10,14329
4,2019-12-11,14902
4,2019-12-12,16794
4,2019-12-13,17918
4,2019-12-14,15438
4,2019-12-15,10424
4,2019-12-16,11460
4,2019-12-17,13993
4,2019-12-18,15339
4,2019-12-19,16228
4,2019-12-20,16613
4,2019-12-21,12600
4,2019-12-22,10233
4,2019-12-23,10535
4,2019-12-24,6613
4,2019-12-25,2448
4,2019-12-26,6369
4,2019-12-27,9243
4,2019-12-28,9403
4,2019-12-29,7724
4,2019-12-30,8971
4,2019-12-31,9658
5,2019-09-01,409
5,2019-09-02,229
5,2019-09-03,286
5,2019-09-04,285
5,2019-09-05,383
5,2019-09-06,434
5,2019-09-07,525
5,2019-09-08,465
5,2019-09-09,277
5,2019-09-10,311
5,2019-09-11,322
5,2019-09-12,382
5,2019-09-13,511
5,2019-09-14,543
5,2019-09-15,525
5,2019-09-16,338
5,2019-09-17,323
5,2019-09-18,373
5,2019-09-19,410
5,2019-09-20,535
5,2019-09-21,566
5,2019-09-22,469
5,2019-09-23,316
5,2019-09-24,324
5,2019-09-25,394
5,2019-09-26,400
5,2019-09-27,492
5,2019-09-28,401
5,2019-09-29,446
5,2019-09-30,284
5,2019-10-01,314
5,2019-10-02,323
5,2019-10-03,348
5,2019-10-04,469
5,2019-10-05,496
5,2019-10-06,420
5,2019-10-07,267
5,2019-10-08,284
5,2019-10-09,321
5,2019-10-10,414
5,2019-10-11,488
5,2019-10-12,480
5,2019-10-13,481
5,2019-10-14,288
5,2019-10-15,322
